threshold,case_id,runs,asp_mean,asp_std,asr_mean,asr_std,dfs_mean,dfs_std,n_agents_mean,n_agents_std,cnr_mean,cnr_std,total_tokens_mean,total_tokens_std
0.3,AD,3,0.45454545454545453,0.0,0.8333333333333334,0.0,0.5882352941176471,0.0,11,0.0,0.6547619047619048,0.11040022018447267,53152.666666666664,1408.0722834981007
0.3,ATM,3,0.45454545454545453,0.0,0.8333333333333334,0.0,0.5882352941176471,0.0,11,0.0,0.3333333333333333,0.4714045207910317,42713,1227.8553117801246
0.3,Library,3,0.5185185185185185,0.026189140043946218,1.0,0.0,0.6825396825396826,0.022447834323382487,9.666666666666666,0.4714045207910317,0.4444444444444444,0.07856742013183862,40548.666666666664,1969.5641367797316
0.3,RollCall,3,0.48148148148148145,0.026189140043946218,0.9333333333333333,0.09428090415820632,0.6349206349206349,0.04489566864676492,9.666666666666666,0.4714045207910317,1.0,0.0,39307.333333333336,4783.215817371777
0.3,Bookkeeping,3,0.3878787878787879,0.01714198257421934,0.8,0.0,0.5222222222222223,0.015713484026367668,10.333333333333334,0.4714045207910317,0.5555555555555556,0.41573970964154905,39390.333333333336,3970.3689445132873
0.4,AD,3,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,6,0.0,0.24444444444444444,0.17497795275581804,33587,1960.516768609746
0.4,ATM,3,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,6,0.0,0.6666666666666666,0.4714045207910317,28355.666666666668,822.0552833531872
0.4,Library,3,0.8,0.0,0.8,0.0,0.8000000000000002,0.0,5,0.0,0.5555555555555556,0.0785674201318386,26780,1949.3480961593289
0.4,RollCall,3,0.5238095238095238,0.033671751485073675,0.6666666666666666,0.09428090415820636,0.5858585858585859,0.05713994191406445,6.333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,24613.666666666668,1549.7923158353258
0.4,Bookkeeping,3,0.5714285714285714,0.0,0.8,0.0,0.6666666666666666,0.0,7,0.0,0.3333333333333333,0.4714045207910317,29213.666666666668,1516.934262107477
0.5,AD,3,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,6,0.0,0.24444444444444444,0.17497795275581804,34451,3150.1279339099865
0.5,ATM,3,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,6,0.0,0.6666666666666666,0.4714045207910317,28174.333333333332,1716.0544539404596
0.5,Library,3,0.8,0.0,0.8,0.0,0.8000000000000002,0.0,5,0.0,0.5555555555555556,0.0785674201318386,27499.666666666668,2855.072016994006
0.5,RollCall,3,0.5,0.0,0.6,0.0,0.5454545454545454,0.0,6,0.0,0.8333333333333334,0.23570226039551584,25030,954.6625931011787
